warning_id,issued_at_utc,issued_at_local,severity,severity_level,warning_area_code,warning_area_name,source_url,source_attribution
054WACDV3A-2023-02-24T14:45:00.000Z,2023-02-24T14:45:00.000Z,2023-02-24T14:45,Flood Alert,3,054WACDV3A,"The Norfolk coast from Caister to Gorleston, including Great Yarmouth",https://www.floodradar.co.uk/flood-area/054WACDV3A,Environment Agency record reproduced by FloodRadar
054WACDV3A-2023-10-13T20:43:00.000Z,2023-10-13T20:43:00.000Z,2023-10-13T21:43,Flood Alert,3,054WACDV3A,"The Norfolk coast from Caister to Gorleston, including Great Yarmouth",https://www.floodradar.co.uk/flood-area/054WACDV3A,Environment Agency record reproduced by FloodRadar
054WACDV3A-2023-11-23T20:01:00.000Z,2023-11-23T20:01:00.000Z,2023-11-23T20:01,Flood Alert,3,054WACDV3A,"The Norfolk coast from Caister to Gorleston, including Great Yarmouth",https://www.floodradar.co.uk/flood-area/054WACDV3A,Environment Agency record reproduced by FloodRadar
054WACDV3A-2023-11-24T09:51:00.000Z,2023-11-24T09:51:00.000Z,2023-11-24T09:51,Flood Alert,3,054WACDV3A,"The Norfolk coast from Caister to Gorleston, including Great Yarmouth",https://www.floodradar.co.uk/flood-area/054WACDV3A,Environment Agency record reproduced by FloodRadar
054WACDV3A-2023-12-21T09:01:00.000Z,2023-12-21T09:01:00.000Z,2023-12-21T09:01,Flood Alert,3,054WACDV3A,"The Norfolk coast from Caister to Gorleston, including Great Yarmouth",https://www.floodradar.co.uk/flood-area/054WACDV3A,Environment Agency record reproduced by FloodRadar
054WACDV3A-2023-12-21T19:56:00.000Z,2023-12-21T19:56:00.000Z,2023-12-21T19:56,Flood Alert,3,054WACDV3A,"The Norfolk coast from Caister to Gorleston, including Great Yarmouth",https://www.floodradar.co.uk/flood-area/054WACDV3A,Environment Agency record reproduced by FloodRadar
054WACDV3A-2024-01-14T14:30:00.000Z,2024-01-14T14:30:00.000Z,2024-01-14T14:30,Flood Alert,3,054WACDV3A,"The Norfolk coast from Caister to Gorleston, including Great Yarmouth",https://www.floodradar.co.uk/flood-area/054WACDV3A,Environment Agency record reproduced by FloodRadar
054WACDV3A-2024-01-24T11:40:00.000Z,2024-01-24T11:40:00.000Z,2024-01-24T11:40,Flood Alert,3,054WACDV3A,"The Norfolk coast from Caister to Gorleston, including Great Yarmouth",https://www.floodradar.co.uk/flood-area/054WACDV3A,Environment Agency record reproduced by FloodRadar
054WACDV3A-2024-01-26T13:26:00.000Z,2024-01-26T13:26:00.000Z,2024-01-26T13:26,Flood Alert,3,054WACDV3A,"The Norfolk coast from Caister to Gorleston, including Great Yarmouth",https://www.floodradar.co.uk/flood-area/054WACDV3A,Environment Agency record reproduced by FloodRadar
054WACDV3A-2024-04-08T10:47:00.000Z,2024-04-08T10:47:00.000Z,2024-04-08T11:47,Flood Alert,3,054WACDV3A,"The Norfolk coast from Caister to Gorleston, including Great Yarmouth",https://www.floodradar.co.uk/flood-area/054WACDV3A,Environment Agency record reproduced by FloodRadar
054WACDV3A-2024-12-06T07:59:00.000Z,2024-12-06T07:59:00.000Z,2024-12-06T07:59,Flood Alert,3,054WACDV3A,"The Norfolk coast from Caister to Gorleston, including Great Yarmouth",https://www.floodradar.co.uk/flood-area/054WACDV3A,Environment Agency record reproduced by FloodRadar
054WACDV3A-2024-12-19T14:48:00.000Z,2024-12-19T14:48:00.000Z,2024-12-19T14:48,Flood Alert,3,054WACDV3A,"The Norfolk coast from Caister to Gorleston, including Great Yarmouth",https://www.floodradar.co.uk/flood-area/054WACDV3A,Environment Agency record reproduced by FloodRadar
054WACDV3A-2024-12-22T15:40:00.000Z,2024-12-22T15:40:00.000Z,2024-12-22T15:40,Flood Alert,3,054WACDV3A,"The Norfolk coast from Caister to Gorleston, including Great Yarmouth",https://www.floodradar.co.uk/flood-area/054WACDV3A,Environment Agency record reproduced by FloodRadar
054WACDV3A-2025-10-04T12:00:00.000Z,2025-10-04T12:00:00.000Z,2025-10-04T13:00,Flood Alert,3,054WACDV3A,"The Norfolk coast from Caister to Gorleston, including Great Yarmouth",https://www.floodradar.co.uk/flood-area/054WACDV3A,Environment Agency record reproduced by FloodRadar
054WACDV3A-2025-12-10T13:00:00.000Z,2025-12-10T13:00:00.000Z,2025-12-10T13:00,Flood Alert,3,054WACDV3A,"The Norfolk coast from Caister to Gorleston, including Great Yarmouth",https://www.floodradar.co.uk/flood-area/054WACDV3A,Environment Agency record reproduced by FloodRadar
054WACDV3A-2026-01-01T15:03:00.000Z,2026-01-01T15:03:00.000Z,2026-01-01T15:03,Flood Alert,3,054WACDV3A,"The Norfolk coast from Caister to Gorleston, including Great Yarmouth",https://www.floodradar.co.uk/flood-area/054WACDV3A,Environment Agency record reproduced by FloodRadar
